block_name,r,g,b
minecraft:acacia_button,168,90,50
minecraft:acacia_door,165,94,59
minecraft:acacia_fence,167,90,50
minecraft:acacia_fence_gate,164,89,50
minecraft:acacia_hanging_sign,171,91,59
minecraft:acacia_leaves,70,100,27
minecraft:acacia_log,151,89,55
minecraft:acacia_planks,168,90,50
minecraft:acacia_pressure_plate,169,91,50
minecraft:acacia_sapling,119,118,24
minecraft:acacia_shelf,176,93,60
minecraft:acacia_sign,161,87,49
minecraft:acacia_slab,168,90,50
minecraft:acacia_stairs,168,90,50
minecraft:acacia_trapdoor,157,87,51
minecraft:acacia_wall_hanging_sign,150,88,69
minecraft:acacia_wall_sign,161,87,49
minecraft:acacia_wood,103,97,87
minecraft:activator_rail,115,87,74
minecraft:allium,159,137,184
minecraft:amethyst_block,134,98,191
minecraft:amethyst_cluster,164,127,207
minecraft:ancient_debris,95,66,58
minecraft:andesite,136,136,137
minecraft:andesite_slab,136,136,137
minecraft:andesite_stairs,136,136,137
minecraft:andesite_wall,137,137,136
minecraft:anvil,72,72,72
minecraft:attached_melon_stem,148,148,148
minecraft:attached_pumpkin_stem,147,147,147
minecraft:azalea,102,125,48
minecraft:azalea_leaves,90,115,44
minecraft:azure_bluet,169,205,127
minecraft:bamboo,143,198,80
minecraft:bamboo_block,127,144,58
minecraft:bamboo_button,191,170,79
minecraft:bamboo_door,196,175,83
minecraft:bamboo_fence,204,183,87
minecraft:bamboo_fence_gate,202,182,82
minecraft:bamboo_hanging_sign,204,186,86
minecraft:bamboo_mosaic,190,170,78
minecraft:bamboo_mosaic_slab,190,170,78
minecraft:bamboo_mosaic_stairs,190,170,78
minecraft:bamboo_planks,193,173,80
minecraft:bamboo_pressure_plate,197,176,82
minecraft:bamboo_sapling,92,89,36
minecraft:bamboo_shelf,193,173,81
minecraft:bamboo_sign,211,188,87
minecraft:bamboo_slab,193,173,80
minecraft:bamboo_stairs,193,173,80
minecraft:bamboo_trapdoor,199,179,85
minecraft:bamboo_wall_hanging_sign,175,162,93
minecraft:bamboo_wall_sign,211,188,87
minecraft:barrel,135,101,58
minecraft:barrier,213,0,0
minecraft:basalt,81,81,86
minecraft:beacon,118,182,183
minecraft:bedrock,85,85,85
minecraft:bee_nest,202,160,75
minecraft:beehive,181,146,90
minecraft:beetroots,66,138,41
minecraft:bell,60,39,18
minecraft:big_dripleaf,112,142,52
minecraft:big_dripleaf_stem,91,115,46
minecraft:birch_button,193,176,121
minecraft:birch_door,214,202,160
minecraft:birch_fence,191,174,121
minecraft:birch_fence_gate,187,171,119
minecraft:birch_hanging_sign,195,173,115
minecraft:birch_leaves,65,84,43
minecraft:birch_log,193,179,135
minecraft:birch_planks,192,175,121
minecraft:birch_pressure_plate,194,176,122
minecraft:birch_sapling,128,161,80
minecraft:birch_shelf,198,177,119
minecraft:birch_sign,186,170,117
minecraft:birch_slab,192,175,121
minecraft:birch_stairs,192,175,121
minecraft:birch_trapdoor,207,194,157
minecraft:birch_wall_hanging_sign,168,154,115
minecraft:birch_wall_sign,186,170,117
minecraft:birch_wood,217,215,210
minecraft:black_banner,162,131,79
minecraft:black_bed,34,34,39
minecraft:black_candle,32,31,50
minecraft:black_candle_cake,244,222,214
minecraft:black_carpet,21,21,26
minecraft:black_concrete,8,10,15
minecraft:black_concrete_powder,25,27,32
minecraft:black_glazed_terracotta,68,30,32
minecraft:black_shulker_box,25,25,30
minecraft:black_stained_glass,25,25,25
minecraft:black_stained_glass_pane,24,24,24
minecraft:black_terracotta,37,23,16
minecraft:black_wall_banner,162,131,79
minecraft:black_wool,21,21,26
minecraft:blackstone,42,36,42
minecraft:blackstone_slab,42,36,42
minecraft:blackstone_stairs,42,36,42
minecraft:blackstone_wall,42,35,41
minecraft:blast_furnace,81,80,81
minecraft:blue_banner,162,131,79
minecraft:blue_bed,65,90,185
minecraft:blue_candle,56,74,160
minecraft:blue_candle_cake,245,223,216
minecraft:blue_carpet,53,57,157
minecraft:blue_concrete,45,47,143
minecraft:blue_concrete_powder,70,73,167
minecraft:blue_glazed_terracotta,47,65,139
minecraft:blue_ice,116,168,253
minecraft:blue_orchid,47,162,168
minecraft:blue_shulker_box,44,46,140
minecraft:blue_stained_glass,51,76,178
minecraft:blue_stained_glass_pane,48,74,171
minecraft:blue_terracotta,74,60,91
minecraft:blue_wall_banner,162,131,79
minecraft:blue_wool,53,57,157
minecraft:bone_block,210,206,179
minecraft:bookshelf,162,131,79
minecraft:brain_coral,198,85,152
minecraft:brain_coral_block,207,91,159
minecraft:brain_coral_fan,203,85,154
