block_name,r,g,b
minecraft:acacia_button,168,90,50
minecraft:acacia_door,166,94,59
minecraft:acacia_fence,168,90,50
minecraft:acacia_fence_gate,168,90,50
minecraft:acacia_hanging_sign,175,93,60
minecraft:acacia_leaves,149,149,149
minecraft:acacia_log,119,94,76
minecraft:acacia_planks,168,90,50
minecraft:acacia_pressure_plate,168,90,50
minecraft:acacia_sapling,119,118,24
minecraft:acacia_shelf,166,90,57
minecraft:acacia_sign,168,90,50
minecraft:acacia_slab,168,90,50
minecraft:acacia_stairs,168,90,50
minecraft:acacia_trapdoor,157,87,51
minecraft:acacia_wall_hanging_sign,175,93,60
minecraft:acacia_wall_sign,168,90,50
minecraft:acacia_wood,103,97,87
minecraft:activator_rail,129,87,74
minecraft:air,,,
minecraft:allium,159,137,184
minecraft:amethyst_block,134,98,191
minecraft:amethyst_cluster,164,127,207
minecraft:ancient_debris,96,65,57
minecraft:andesite,136,136,137
minecraft:andesite_slab,136,136,137
minecraft:andesite_stairs,136,136,137
minecraft:andesite_wall,136,136,137
minecraft:anvil,70,70,70
minecraft:attached_melon_stem,150,150,150
minecraft:attached_pumpkin_stem,149,149,149
minecraft:azalea,95,116,45
minecraft:azalea_leaves,90,115,44
minecraft:azure_bluet,169,205,127
minecraft:bamboo,90,138,21
minecraft:bamboo_block,131,143,59
minecraft:bamboo_button,193,173,80
minecraft:bamboo_door,195,174,83
minecraft:bamboo_fence,207,186,89
minecraft:bamboo_fence_gate,206,186,86
minecraft:bamboo_hanging_sign,193,173,80
minecraft:bamboo_mosaic,190,170,78
minecraft:bamboo_mosaic_slab,190,170,78
minecraft:bamboo_mosaic_stairs,190,170,78
minecraft:bamboo_planks,193,173,80
minecraft:bamboo_pressure_plate,193,173,80
minecraft:bamboo_sapling,92,89,36
minecraft:bamboo_shelf,188,168,78
minecraft:bamboo_sign,193,173,80
minecraft:bamboo_slab,193,173,80
minecraft:bamboo_stairs,193,173,80
minecraft:bamboo_trapdoor,199,179,85
minecraft:bamboo_wall_hanging_sign,193,173,80
minecraft:bamboo_wall_sign,193,173,80
minecraft:barrel,111,82,49
minecraft:barrier,213,0,0
minecraft:basalt,76,76,81
minecraft:beacon,121,165,170
minecraft:bedrock,85,85,85
minecraft:bee_nest,189,147,78
minecraft:beehive,166,134,81
